0,年中钜惠！对望栈桥 东边户观海大阳台 参团享内购价外地可买
1,140万
2,9492元/m²
3,3室2厅
4,147m²
5,低层(共34层)
6,2019年建造
7,王敏杰
8,"
                    融创维多利亚湾  
                    黄岛-薛家岛-同江路1号                "
9,"
新房房源南北通透环境优美 "
0,"蓝谷圣罗尼克，104平,一楼带院，带地下，精装，大套二"
1,156万
2,16927元/m²
3,2室2厅
4,92m²
5,共1层
6,2012年建造
7,武方鑫
8,"
                    天泰圣罗尼克三期  
                    即墨-蓝色硅谷-莱青路357号                "
9,"
"
0,维湾团购5年内部资源特价 海景大盘 一套也团购 看尽青岛繁华
1,117万
2,8014元/m²
3,3室2厅
4,146m²
5,低层(共34层)
6,2018年建造
7,杨晓娜
8,"
                    融创维多利亚湾  
                    黄岛-薛家岛-同江路1号                "
9,"
新房房源南北通透环境优美 "
0,降价急售 李村北 满五唯一 免双税 精装套二房 149万
1,149万
2,16955元/m²
3,2室2厅
4,87m²
5,共5层
6,2009年建造
7,王岩
8,"
                    山水嘉园  
                    城阳-夏庄-黑龙江中路22号                "
9,"
南北通透卫浴全明一梯两户 "
0,新出维多利亚湾，130平送车位，精装仅124万，无任何费用！
1,124万
2,9538元/m²
3,3室2厅
4,130m²
5,低层(共34层)
6,2019年建造
7,杨体增
8,"
                    融创维多利亚湾  
                    黄岛-薛家岛-同江路1号                "
9,"
新房房源配套成熟繁华地段 "
0,准现房 9层电梯洋房 新城吾悦旁 近地铁 东港新世纪花园
1,145万
2,17470元/m²
3,2室2厅
4,83m²
5,低层(共9层)
6,2019年建造
7,郭士彭
8,"
                    东港新世纪花园  
                    黄岛-灵山卫-北港路79号                "
9,"
新房房源一梯两户远离马路 "
0,地铁口 多层2楼 111万 精装 没有税 全明通透 看好可议
1,111万
2,11809元/m²
3,2室2厅
4,94m²
5,共5层
6,2010年建造
7,庞乐乐
8,"
                    玫瑰庄园  
                    黄岛-隐珠-上海路                "
9,"
近地铁素质住户品质小区 "
0,地铁口 安阳小区电梯洋房婚房套三双卫！全明通透 价格美丽急售
1,309万
2,22545元/m²
3,3室2厅
4,137m²
5,共5层
6,2014年建造
7,王鹏辉
8,"
                    安阳小区  
                    黄岛-薛家岛-嘉陵江东路377号                "
9,"
卫浴全明欧式风近地铁 "
0,水岸枫景豪华装修 3室2厅1卫1衣帽间 实际95平米150万
1,150万
2,16304元/m²
3,2室2厅
4,92m²
5,共5层
6,2013年建造
7,顾森
8,"
                    崂山水岸枫景  
                    城阳-夏庄-银河路555号                "
9,"
配套成熟环境优美品质小区 "
0,融创万达维多利亚湾，团购，免费看房车，双学 区房 12年教育
1,132万
2,10154元/m²
3,3室2厅
4,130m²
5,低层(共28层)
6,2018年建造
7,尹宜英
8,"
                    融创维多利亚湾  
                    黄岛-薛家岛-同江路1号                "
9,"
新房房源配套成熟交通便利 "
0,东边大阳台 俯瞰青岛栈桥 九期开盘特惠 团购更省钱
1,137万
2,9257元/m²
3,3室2厅
4,148m²
5,低层(共34层)
6,2018年建造
7,王永莉
8,"
                    融创维多利亚湾  
                    黄岛-薛家岛-同江路1号                "
9,"
新房房源南北通透环境优美 "
0,柳沟 国货附近 精装修地暖 套二 双气 送储20平 看房方便
1,90万
2,10588元/m²
3,2室1厅
4,85m²
5,共5层
6,1994年建造
7,戴新婷
8,"
                    田横岛小区  
                    黄岛-老黄岛-玉环岛街62号                "
9,"
两房朝南一梯两户地暖 "
0,薛家岛碧海花园近学校地铁89.95平仅售129万赠送储藏室
1,129万
2,14341元/m²
3,2室2厅
4,89m²
5,低层(共6层)
6,2001年建造
7,杨霞
8,"
                    碧海花园  
                    黄岛-薛家岛-嘉陵江东路                "
9,"
主卧朝南客厅朝南配套成熟 "
